a.                                                                                're                   {1:297}
b.                                                                                's                    {30:14,92,114,133,135,157,211,247,249,271,287,289,291,296,298,298,355,356,365,366,366,380,387,426,443,468,512,514,577,579}
c.                                                                                -their                {1:31}
d.                                                                                .mansions             {1:226}
e.                                                                                0                     {4:96,111,170,356}
f.                                                                                0.05                  {1:408}
g.                                                                                0.06                  {1:408}
h.                                                                                0.15                  {1:408}
i.                                                                                0.19                  {1:408}
j.                                                                                0.55                  {1:408}
k.                                                                                00                    {1:132}
l.                                                                                1                     {3:1,60,211}
m.                                                                                1,000                 {1:436}
n.                                                                                1.6                   {1:176}
o.                                                                                10                    {4:110,165,173,173}
p.                                                                                100                   {1:172}
q.                                                                                1000                  {1:122}
r.                                                                                100x50x30             {1:173}
s.                                                                                1010                  {1:496}
t.                                                                                1015                  {1:496}
u.                                                                                104                   {1:452}
v.                                                                                105621                {1:38}
w.                                                                                107                   {1:500}
x.                                                                                109                   {3:202,498,499}
y.                                                                                11                    {1:356}
z.                                                                                11th                  {1:499}
aa.                                                                               120                   {1:150}
bb.                                                                               1280                  {1:178}
cc.                                                                               13                    {1:231}
dd.                                                                               130                   {1:451}
ee.                                                                               15                    {1:45}
ff.                                                                               150,000               {1:173}
gg.                                                                               165,000               {2:165,176}
hh.                                                                               17                    {1:107}
ii.                                                                               174,380               {1:179}
jj.                                                                               1828                  {1:130}
kk.                                                                               1839                  {1:130}
ll.                                                                               1842                  {1:366}
mm.                                                                               1931                  {1:247}
nn.                                                                               1935                  {1:248}
oo.                                                                               1936                  {1:248}
pp.                                                                               1937                  {1:248}
qq.                                                                               1949                  {2:271,369}
rr.                                                                               2                     {4:25,165,234,499}
ss.                                                                               200                   {1:589}
tt.                                                                               22                    {1:365}
uu.                                                                               23                    {1:585}
vv.                                                                               24                    {1:585}
ww.                                                                               2560                  {1:178}
xx.                                                                               3                     {2:58,245}
yy.                                                                               3.12                  {1:408}
zz.                                                                               3.13                  {1:408}
aaa.                                                                              3.14                  {1:408}
bbb.                                                                              3.1416                {1:408}
ccc.                                                                              3.15                  {1:408}
ddd.                                                                              3.16                  {1:408}
eee.                                                                              30                    {2:38,172}
fff.                                                                              300                   {1:179}
ggg.                                                                              34957                 {1:37}
hhh.                                                                              3540675445            {1:96}
iii.                                                                              4                     {2:81,270}
jjj.                                                                              400                   {1:451}
kkk.                                                                              40x                   {1:356}
lll.                                                                              4302                  {1:104}
mmm.                                                                              4505                  {1:111}
nnn.                                                                              5                     {3:141,231,307}
ooo.                                                                              50                    {2:172,589}
ppp.                                                                              50,000                {1:165}
qqq.                                                                              51                    {1:589}
rrr.                                                                              52                    {1:589}
sss.                                                                              5606                  {1:111}
ttt.                                                                              6                     {2:197,366}
uuu.                                                                              64                    {1:178}
vvv.                                                                              6707                  {1:111}
www.                                                                              6809                  {1:104}
xxx.                                                                              6809430217            {1:106}
yyy.                                                                              7                     {1:463}
zzz.                                                                              70                    {1:202}
aaaa.                                                                             7076345687            {1:96}
bbbb.                                                                             70764                 {1:37}
cccc.                                                                             8)                    {1:410}
dddd.                                                                             9                     {2:170,438}
eeee.                                                                             =                     {5:352,356,525,525,525}
ffff.                                                                             a                     {344:5,5,7,8,9,9,9,10,13,13,14,17,22,22,23,23,26,28,28,29,30,33,34,38,40,45,45,47,47,51,53,54,54,55,57,62,62,65,65,65,66,66,66,68,71,73,74,75,77,80,83,85,85,87,88,90,92,93,94,97,102,104,106,112,113,115,116,116,117,119,121,121,121,121,121,122,123,123,123,123,124,125,126,127,129,130,131,132,133,135,139,148,148,150,150,150,150,150,156,159,159,160,160,160,160,160,164,168,168,176,178,178,179,180,181,189,189,196,196,202,211,215,216,219,220,221,224,231,233,246,249,250,250,251,252,252,257,257,258,259,262,262,269,272,272,272,274,277,280,280,280,283,286,286,287,287,289,291,294,296,298,298,298,301,301,305,308,308,308,311,312,313,313,318,319,321,324,328,330,332,334,338,339,339,342,350,351,352,353,354,355,356,357,361,361,362,362,363,366,369,369,370,374,376,380,380,381,383,383,384,386,386,388,393,393,393,393,393,394,395,395,396,397,398,399,399,399,399,400,401,401,404,405,405,406,407,407,411,411,412,412,412,420,420,424,426,428,428,434,434,434,436,444,446,449,449,449,449,454,457,462,465,468,469,469,469,469,470,471,473,476,477,478,478,480,483,484,487,497,498,500,500,502,503,504,504,506,508,512,514,518,522,526,529,530,539,539,540,541,543,543,543,545,545,550,562,562,562,563,563,565,565,566,566,566,566,570,575,576,577,578,578,579,579,580,583,583,584,584,586,587,587,588,588,589,589,590,592,592,593,599,600,602,605}
gggg.                                                                             A                     {3:12,12,183}
hhhh.                                                                             a.                    {3:1,12,121}
iiii.                                                                             abandon               {3:67,199,302}
jjjj.                                                                             able                  {10:29,205,299,307,400,402,437,458,527,577}
kkkk.                                                                             about                 {28:15,38,49,149,165,165,174,176,176,179,202,202,231,238,289,304,326,329,399,408,434,437,447,502,504,504,506,535}
llll.                                                                             above                 {7:88,108,166,219,237,300,563}
mmmm.                                                                             absence               {1:429}
nnnn.                                                                             abstract              {3:344,345,600}
oooo.                                                                             abstractly            {1:151}
pppp.                                                                             absurd                {1:6}
qqqq.                                                                             accept                {5:116,214,269,283,303}
rrrr.                                                                             accepted              {1:444}
ssss.                                                                             accomplish            {1:504}
tttt.                                                                             according             {5:116,154,275,277,445}
uuuu.                                                                             account               {1:73}
vvvv.                                                                             accuracy              {2:317,335}
wwww.                                                                             accurate              {3:162,162,201}
xxxx.                                                                             achieve               {1:359}
yyyy.                                                                             achieved              {2:89,580}
zzzz.                                                                             acoustic              {1:138}
aaaaa.                                                                            act                   {3:391,393,425}
bbbbb.                                                                            action                {2:196,554}
ccccc.                                                                            actions               {1:116}
ddddd.                                                                            activity              {1:600}
eeeee.                                                                            actual                {3:118,124,162}
fffff.                                                                            actually              {3:13,408,558}
ggggg.                                                                            add                   {4:21,37,104,109}
hhhhh.                                                                            added                 {2:127,177}
iiiii.                                                                            addition              {2:150,249}
jjjjj.                                                                            additions             {1:87}
kkkkk.                                                                            adds                  {1:369}
lllll.                                                                            adequate              {5:184,196,231,376,495}
mmmmm.                                                                            adhere                {1:402}
nnnnn.                                                                            adhering              {1:480}
ooooo.                                                                            admissions            {1:389}
ppppp.                                                                            admitted              {2:220,460}
qqqqq.                                                                            ado                   {1:27}
rrrrr.                                                                            adopt                 {2:282,332}
sssss.                                                                            adult                 {3:506,512,513}
ttttt.                                                                            advances              {1:495}
uuuuu.                                                                            advantage             {3:28,402,591}
vvvvv.                                                                            advantages            {2:32,526}
wwwww.                                                                            advisable             {1:49}
xxxxx.                                                                            aeroplane             {1:47}
yyyyy.                                                                            affects               {1:238}
zzzzz.                                                                            afford                {1:341}
aaaaaa.                                                                           afresh                {2:114,185}
bbbbbb.                                                                           after                 {2:45,202}
cccccc.                                                                           again                 {9:111,112,112,190,268,268,379,596,604}
dddddd.                                                                           against               {3:47,50,498}
eeeeee.                                                                           ago                   {1:318}
ffffff.                                                                           agree                 {2:272,416}
gggggg.                                                                           agreement             {1:372}
hhhhhh.                                                                           ahead                 {1:605}
iiiiii.                                                                           all                   {24:65,78,115,131,135,157,157,157,188,189,238,252,267,289,307,351,378,395,416,440,462,501,582,597}
jjjjjj.                                                                           allow                 {1:62}
kkkkkk.                                                                           allowed               {3:12,172,252}
llllll.                                                                           Almighty              {1:219}
mmmmmm.                                                                           almost                {2:46,516}
nnnnnn.                                                                           along                 {1:447}
oooooo.                                                                           already               {1:75}
pppppp.                                                                           also                  {9:62,74,86,87,115,134,322,481,601}
qqqqqq.                                                                           alterations           {1:358}
rrrrrr.                                                                           altered               {2:85,205}
ssssss.                                                                           alternative           {1:565}
tttttt.                                                                           alternatively         {4:18,115,550,590}
uuuuuu.                                                                           although              {4:131,260,386,577}
vvvvvv.                                                                           altogether            {1:199}
wwwwww.                                                                           always                {1:157}
xxxxxx.                                                                           am                    {7:21,214,228,282,316,372,388}
yyyyyy.                                                                           amongst               {4:142,556,558,564}
zzzzzz.                                                                           amount                {3:127,518,542}
aaaaaaa.                                                                          amounts               {1:179}
